['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-03-20', '16-22-57', 'Связной на пешехода с планшетом'],
['2021-03-20', '17-21-26', 'Пушкино modzavod где кафе Злата Прага стоят 2 экипажа в городу основном но так туда и сюда'],
['2021-03-20', '17-55-08', 'Пушкино автозавод строит коридор и экипажа начали всех подряд'],
['2021-03-20', '18-02-13', '45 коридор в обе стороны тормозят'],
['2021-03-20', '18-07-32', '8 батальон из города два экипажа'],
['2021-03-20', '18-27-57', '8 батальон работает из города'],
['2021-03-20', '20-22-10', '8 батальон из города стоят работает'],
['2021-03-20', '20-31-16', 'рынок два экипажа пассивно'],
['2021-03-20', '20-33-21', 'Ворошилова Связной экипаж'],
['2021-03-20', '20-51-04', 'портал актуально Связной работает на пешехода просто машина не тормозит'],
['2021-03-20', '20-51-45', 'актуально'],
['2021-03-20', '21-00-08', 'Димаш'],
['2021-03-20', '21-10-26', 'Горького авария с участием такси ситимобил достаточно неприятное'],
['2021-03-20', '22-22-01', 'мой батальон практически всех подряд'],
['2021-03-20', '22-23-06', 'школа Круг equipage стоит'],
['2021-03-20', '22-49-14', 'Ворошилова стартуй типаж на мигалках на остановке стоит'],
['2021-03-20', '23-04-33', 'там возле Старта где Экипаж там ДТП такое не слабая'],
['2021-03-20', '23-08-32', 'Круг equipage'],
['2021-03-20', '23-14-48', 'газельки работают в обе стороны'],
['2021-03-20', '23-20-01', 'Круг работы всех подряд'],
['2021-03-20', '23-23-57', 'шоссе стоят с 2 сторон у тебя'],
['2021-03-21', '00-07-08', 'только они не работают сидят в машине'],
['2021-03-21', '00-37-39', 'кекс по Береговой около остановки Экипаж стоит оформляют четвёрку'],
['2021-03-21', '00-42-32', 'магазин Country сидят в машине пока'],
['2021-03-21', '01-16-59', 'Московское шоссе напротив Б класса экипажи встала'],
['2021-03-21', '01-35-06', 'шоссе где матрасы продают техничка стала всех подряд'],
['2021-03-21', '01-36-41', 'Ford Transit проехал только что мимо Весенней 8 в сторону Подольска'],
['2021-03-21', '02-08-54', 'магазин речной типаж'],
['2021-03-21', '04-54-35', 'ожидаю'],
['2021-03-21', '04-58-29', 'Вычисли Борис vannamoskva два экипажа работа'],
['2021-03-21', '05-55-27', 'Всем доброе утро Будьте пожалуйста осторожнее там по Советской в районе дом 8 С2 какой-то пьяный ходит по дороге на машины прямо кидается прямо по дороге ходят идёт в сторону России его так В тёмной одежде или видно'],
['2021-03-21', '06-09-06', 'поворот на базовую работает экипаж'],
['2021-03-21', '07-07-22', 'мой какой типаж'],
['2021-03-21', '07-18-59', '2 в обе стороны останавливают всех Даже такси'],
['2021-03-21', '07-39-52', 'Авангард два экипажа работает в обе стороны'],
['2021-03-21', '07-56-51', 'базовая'],
['2021-03-21', '08-03-20', 'воротная Авангард и экипажа с 2 сторон в поход на запах ловит'],
['2021-03-21', '08-58-29', 'в сторону Протвино Экипаж работает всех подряд'],
['2021-03-21', '09-46-12', 'Экипаж работает'],
['2021-03-21', '10-30-49', 'обращение Советская 1 там где на повороте'],
['2021-03-21', '10-31-09', 'интересно выезд через Бутурлино в сторону трассы кроме камеры гаишников нет'],
['2021-03-21', '10-49-41', 'где-то посерединке где вот берег Авто автосервис Экипаж стоит работает'],
['2021-03-21', '11-12-59', '8 батальон чисто кому интересно'],
['2021-03-21', '11-24-01', 'Борисова на развязку как под горку подняться там стоит два типажа Ford Transit и просто вот'],
['2021-03-21', '11-46-15', 'наверху останавливай таксистов работает два экипажа'],
['2021-03-21', '12-06-56', 'поворот на шатово там в глубине во дворе Где магазин въезд стоит экипаж'],
['2021-03-21', '12-32-31', 'перед поворотом на Оболенск работает экипаж в сторону Серпухова'],
['2021-03-21', '12-57-38', 'Авангард два экипажа'],
['2021-03-21', '14-45-42', 'Коллегия Авангард в сторону города или из города стоят'],
['2021-03-21', '14-52-32', 'на Лукойле Экипаж стоит'],
['2021-03-21', '14-58-30', 'пару возле официалки два экипажа'],
['2021-03-21', '14-59-06', 'ребят Ворошилова после роснефти около автошкола Экипаж стоят работают сторону вокзала'],
['2021-03-21', '15-10-32', 'где мойка самообслуживания 3 типажа собрались наверное сейчас делать - коридор'],
['2021-03-21', '16-01-08', 'железный мост Ворошилова коридор хрен знает сколько'],
